family,inference_engine,model,dataset,num_samples,gpu,num_gpu,batch_size
moe,sglang,Qwen3-4B,arena-hard,256,B200,1,1
moe,sglang,Qwen3-4B,arena-hard,256,B200,1,default
moe,sglang,Qwen3-4B,gsm8k,256,B200,1,1
moe,sglang,Qwen3-4B,gsm8k,256,B200,1,default
moe,sglang,Qwen3-4B,longbench_v1,256,B200,1,1
moe,sglang,Qwen3-4B,longbench_v1,256,B200,1,default
moe,sglang,gpt-oss-120b,arena-hard,256,B200,1,1
moe,sglang,gpt-oss-120b,arena-hard,256,B200,1,default
moe,sglang,gpt-oss-120b,gsm8k,256,B200,1,1
moe,sglang,gpt-oss-120b,gsm8k,256,B200,1,default
moe,sglang,gpt-oss-120b,longbench_v1,256,B200,1,1
moe,sglang,gpt-oss-120b,longbench_v1,256,B200,1,default
moe,vllm,Qwen3-4B,arena-hard,256,B200,1,1
moe,vllm,Qwen3-4B,arena-hard,256,B200,1,default
moe,vllm,Qwen3-4B,gsm8k,256,B200,1,1
moe,vllm,Qwen3-4B,gsm8k,256,B200,1,default
moe,vllm,Qwen3-4B,longbench_v1,256,B200,1,1
moe,vllm,Qwen3-4B,longbench_v1,256,B200,1,default
moe,vllm,gpt-oss-120b,arena-hard,256,B200,1,1
moe,vllm,gpt-oss-120b,arena-hard,256,B200,1,default
moe,vllm,gpt-oss-120b,gsm8k,256,B200,1,1
moe,vllm,gpt-oss-120b,gsm8k,256,B200,1,default
moe,vllm,gpt-oss-120b,longbench_v1,256,B200,1,1
moe,vllm,gpt-oss-120b,longbench_v1,256,B200,1,default
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,arena-hard,256,B200,2,1
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,arena-hard,256,B200,2,default
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,gsm8k,256,B200,2,1
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,gsm8k,256,B200,2,default
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,longbench_v1,256,B200,2,1
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,longbench_v1,256,B200,2,default
moe,vllm,Qwen3-235B-A22B-Instruct-2507-FP8,arena-hard,256,B200,2,1
moe,vllm,Qwen3-235B-A22B-Instruct-2507-FP8,arena-hard,256,B200,2,default
moe,vllm,Qwen3-235B-A22B-Instruct-2507-FP8,gsm8k,256,B200,2,1
moe,vllm,Qwen3-235B-A22B-Instruct-2507-FP8,gsm8k,256,B200,2,default
moe,vllm,Qwen3-235B-A22B-Instruct-2507-FP8,longbench_v1,256,B200,2,1
moe,vllm,Qwen3-235B-A22B-Instruct-2507-FP8,longbench_v1,256,B200,2,default
moe,sglang,DeepSeek-R1,arena-hard,256,B200,8,1
moe,sglang,DeepSeek-R1,arena-hard,256,B200,8,default
moe,sglang,DeepSeek-R1,gsm8k,256,B200,8,1
moe,sglang,DeepSeek-R1,gsm8k,256,B200,8,default
moe,sglang,DeepSeek-R1,longbench_v1,256,B200,8,1
moe,sglang,DeepSeek-R1,longbench_v1,256,B200,8,default
moe,sglang,Kimi-K2.5,arena-hard,256,B200,8,1
moe,sglang,Kimi-K2.5,arena-hard,256,B200,8,default
moe,sglang,Kimi-K2.5,gsm8k,256,B200,8,1
moe,sglang,Kimi-K2.5,gsm8k,256,B200,8,default
moe,sglang,Kimi-K2.5,longbench_v1,256,B200,8,1
moe,sglang,Kimi-K2.5,longbench_v1,256,B200,8,default
moe,vllm,DeepSeek-R1,arena-hard,256,B200,8,1
moe,vllm,DeepSeek-R1,arena-hard,256,B200,8,default
moe,vllm,DeepSeek-R1,gsm8k,256,B200,8,1
moe,vllm,DeepSeek-R1,gsm8k,256,B200,8,default
moe,vllm,DeepSeek-R1,longbench_v1,256,B200,8,1
moe,vllm,DeepSeek-R1,longbench_v1,256,B200,8,default
moe,vllm,Kimi-K2.5,arena-hard,256,B200,8,1
moe,vllm,Kimi-K2.5,arena-hard,256,B200,8,default
moe,vllm,Kimi-K2.5,gsm8k,256,B200,8,1
moe,vllm,Kimi-K2.5,gsm8k,256,B200,8,default
moe,vllm,Kimi-K2.5,longbench_v1,256,B200,8,1
moe,vllm,Kimi-K2.5,longbench_v1,256,B200,8,default
moe,sglang,Qwen3-4B,arena-hard,256,B300,1,1
moe,sglang,Qwen3-4B,arena-hard,256,B300,1,default
moe,sglang,Qwen3-4B,gsm8k,256,B300,1,1
moe,sglang,Qwen3-4B,gsm8k,256,B300,1,default
moe,sglang,Qwen3-4B,longbench_v1,256,B300,1,1
moe,sglang,Qwen3-4B,longbench_v1,256,B300,1,default
moe,sglang,gpt-oss-120b,arena-hard,256,B300,1,1
moe,sglang,gpt-oss-120b,arena-hard,256,B300,1,default
moe,sglang,gpt-oss-120b,gsm8k,256,B300,1,1
moe,sglang,gpt-oss-120b,gsm8k,256,B300,1,default
moe,sglang,gpt-oss-120b,longbench_v1,256,B300,1,1
moe,sglang,gpt-oss-120b,longbench_v1,256,B300,1,default
moe,vllm,Qwen3-4B,arena-hard,256,B300,1,1
moe,vllm,Qwen3-4B,arena-hard,256,B300,1,default
moe,vllm,Qwen3-4B,gsm8k,256,B300,1,1
moe,vllm,Qwen3-4B,gsm8k,256,B300,1,default
moe,vllm,Qwen3-4B,longbench_v1,256,B300,1,1
moe,vllm,Qwen3-4B,longbench_v1,256,B300,1,default
moe,vllm,gpt-oss-120b,arena-hard,256,B300,1,1
moe,vllm,gpt-oss-120b,arena-hard,256,B300,1,default
moe,vllm,gpt-oss-120b,gsm8k,256,B300,1,1
moe,vllm,gpt-oss-120b,gsm8k,256,B300,1,default
moe,vllm,gpt-oss-120b,longbench_v1,256,B300,1,1
moe,vllm,gpt-oss-120b,longbench_v1,256,B300,1,default
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,arena-hard,256,B300,2,1
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,arena-hard,256,B300,2,default
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,gsm8k,256,B300,2,1
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,gsm8k,256,B300,2,default
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,longbench_v1,256,B300,2,1
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,longbench_v1,256,B300,2,default
moe,vllm,Qwen3-235B-A22B-Instruct-2507-FP8,arena-hard,256,B300,2,1
moe,vllm,Qwen3-235B-A22B-Instruct-2507-FP8,arena-hard,256,B300,2,default
moe,vllm,Qwen3-235B-A22B-Instruct-2507-FP8,gsm8k,256,B300,2,1
moe,vllm,Qwen3-235B-A22B-Instruct-2507-FP8,gsm8k,256,B300,2,default
moe,vllm,Qwen3-235B-A22B-Instruct-2507-FP8,longbench_v1,256,B300,2,1
moe,vllm,Qwen3-235B-A22B-Instruct-2507-FP8,longbench_v1,256,B300,2,default
moe,sglang,DeepSeek-R1,arena-hard,256,B300,8,default
moe,sglang,DeepSeek-R1,gsm8k,256,B300,8,default
moe,sglang,DeepSeek-R1,longbench_v1,256,B300,8,default
moe,sglang,Kimi-K2.5,arena-hard,256,B300,8,default
moe,sglang,Kimi-K2.5,gsm8k,256,B300,8,default
moe,sglang,Kimi-K2.5,longbench_v1,256,B300,8,default
moe,vllm,DeepSeek-R1,arena-hard,256,B300,8,default
moe,vllm,DeepSeek-R1,gsm8k,256,B300,8,default
moe,vllm,DeepSeek-R1,longbench_v1,256,B300,8,default
moe,vllm,Kimi-K2.5,arena-hard,256,B300,8,default
moe,vllm,Kimi-K2.5,gsm8k,256,B300,8,default
moe,vllm,Kimi-K2.5,longbench_v1,256,B300,8,default
