family,inference_engine,model,dataset,num_samples,gpu,num_gpu,batch_size
moe,sglang,DeepSeek-R1,gsm8k,256,H200,8,default
moe,sglang,DeepSeek-R1,gsm8k,256,H200,8,1
moe,sglang,DeepSeek-R1,arena-hard,256,H200,8,default
moe,sglang,DeepSeek-R1,arena-hard,256,H200,8,1
moe,sglang,DeepSeek-R1,longbench_v1,256,H200,8,default
moe,sglang,DeepSeek-R1,longbench_v1,256,H200,8,1
moe,sglang,Kimi-K2.5,gsm8k,256,H200,8,default
moe,sglang,Kimi-K2.5,gsm8k,256,H200,8,1
moe,sglang,Kimi-K2.5,arena-hard,256,H200,8,default
moe,sglang,Kimi-K2.5,arena-hard,256,H200,8,1
moe,sglang,Kimi-K2.5,longbench_v1,256,H200,8,default
moe,sglang,Kimi-K2.5,longbench_v1,256,H200,8,1
moe,vllm,DeepSeek-R1,gsm8k,256,H200,8,default
moe,vllm,DeepSeek-R1,gsm8k,256,H200,8,1
moe,vllm,DeepSeek-R1,arena-hard,256,H200,8,default
moe,vllm,DeepSeek-R1,arena-hard,256,H200,8,1
moe,vllm,DeepSeek-R1,longbench_v1,256,H200,8,default
moe,vllm,DeepSeek-R1,longbench_v1,256,H200,8,1
moe,vllm,Kimi-K2.5,gsm8k,256,H200,8,default
moe,vllm,Kimi-K2.5,gsm8k,256,H200,8,1
moe,vllm,Kimi-K2.5,arena-hard,256,H200,8,default
moe,vllm,Kimi-K2.5,arena-hard,256,H200,8,1
moe,vllm,Kimi-K2.5,longbench_v1,256,H200,8,default
moe,vllm,Kimi-K2.5,longbench_v1,256,H200,8,1
