family,inference_engine,model,dataset,num_samples,gpu,num_gpu,batch_size
moe,sglang,Qwen3-4B,gsm8k,256,A100,1,default
moe,sglang,Qwen3-4B,gsm8k,256,A100,1,1
moe,sglang,Qwen3-4B,arena-hard,256,A100,1,default
moe,sglang,Qwen3-4B,arena-hard,256,A100,1,1
moe,sglang,Qwen3-4B,longbench_v1,256,A100,1,default
moe,sglang,Qwen3-4B,longbench_v1,256,A100,1,1
moe,sglang,Qwen3-4B,gsm8k,256,H100,1,default
moe,sglang,Qwen3-4B,gsm8k,256,H100,1,1
moe,sglang,Qwen3-4B,arena-hard,256,H100,1,default
moe,sglang,Qwen3-4B,arena-hard,256,H100,1,1
moe,sglang,Qwen3-4B,longbench_v1,256,H100,1,default
moe,sglang,Qwen3-4B,longbench_v1,256,H100,1,1
moe,sglang,Qwen3-4B,gsm8k,256,H200,1,default
moe,sglang,Qwen3-4B,gsm8k,256,H200,1,1
moe,sglang,Qwen3-4B,arena-hard,256,H200,1,default
moe,sglang,Qwen3-4B,arena-hard,256,H200,1,1
moe,sglang,Qwen3-4B,longbench_v1,256,H200,1,default
moe,sglang,Qwen3-4B,longbench_v1,256,H200,1,1
moe,vllm,Qwen3-4B,gsm8k,256,A100,1,default
moe,vllm,Qwen3-4B,gsm8k,256,A100,1,1
moe,vllm,Qwen3-4B,arena-hard,256,A100,1,default
moe,vllm,Qwen3-4B,arena-hard,256,A100,1,1
moe,vllm,Qwen3-4B,longbench_v1,256,A100,1,default
moe,vllm,Qwen3-4B,longbench_v1,256,A100,1,1
moe,vllm,Qwen3-4B,gsm8k,256,H100,1,default
moe,vllm,Qwen3-4B,gsm8k,256,H100,1,1
moe,vllm,Qwen3-4B,arena-hard,256,H100,1,default
moe,vllm,Qwen3-4B,arena-hard,256,H100,1,1
moe,vllm,Qwen3-4B,longbench_v1,256,H100,1,default
moe,vllm,Qwen3-4B,longbench_v1,256,H100,1,1
moe,vllm,Qwen3-4B,gsm8k,256,H200,1,default
moe,vllm,Qwen3-4B,gsm8k,256,H200,1,1
moe,vllm,Qwen3-4B,arena-hard,256,H200,1,default
moe,vllm,Qwen3-4B,arena-hard,256,H200,1,1
moe,vllm,Qwen3-4B,longbench_v1,256,H200,1,default
moe,vllm,Qwen3-4B,longbench_v1,256,H200,1,1
