family,inference_engine,model,dataset,num_samples,gpu,num_gpu,batch_size
moe,sglang,gpt-oss-120b,gsm8k,256,A100,1,default
moe,sglang,gpt-oss-120b,gsm8k,256,A100,1,1
moe,sglang,gpt-oss-120b,arena-hard,256,A100,1,default
moe,sglang,gpt-oss-120b,arena-hard,256,A100,1,1
moe,sglang,gpt-oss-120b,longbench_v1,256,A100,1,default
moe,sglang,gpt-oss-120b,longbench_v1,256,A100,1,1
moe,sglang,gpt-oss-120b,gsm8k,256,A100,2,default
moe,sglang,gpt-oss-120b,gsm8k,256,A100,2,1
moe,sglang,gpt-oss-120b,arena-hard,256,A100,2,default
moe,sglang,gpt-oss-120b,arena-hard,256,A100,2,1
moe,sglang,gpt-oss-120b,longbench_v1,256,A100,2,default
moe,sglang,gpt-oss-120b,longbench_v1,256,A100,2,1
moe,sglang,gpt-oss-120b,gsm8k,256,H100,1,default
moe,sglang,gpt-oss-120b,gsm8k,256,H100,1,1
moe,sglang,gpt-oss-120b,arena-hard,256,H100,1,default
moe,sglang,gpt-oss-120b,arena-hard,256,H100,1,1
moe,sglang,gpt-oss-120b,longbench_v1,256,H100,1,default
moe,sglang,gpt-oss-120b,longbench_v1,256,H100,1,1
moe,sglang,gpt-oss-120b,gsm8k,256,H100,2,default
moe,sglang,gpt-oss-120b,gsm8k,256,H100,2,1
moe,sglang,gpt-oss-120b,arena-hard,256,H100,2,default
moe,sglang,gpt-oss-120b,arena-hard,256,H100,2,1
moe,sglang,gpt-oss-120b,longbench_v1,256,H100,2,default
moe,sglang,gpt-oss-120b,longbench_v1,256,H100,2,1
moe,sglang,gpt-oss-120b,gsm8k,256,H200,1,default
moe,sglang,gpt-oss-120b,gsm8k,256,H200,1,1
moe,sglang,gpt-oss-120b,arena-hard,256,H200,1,default
moe,sglang,gpt-oss-120b,arena-hard,256,H200,1,1
moe,sglang,gpt-oss-120b,longbench_v1,256,H200,1,default
moe,sglang,gpt-oss-120b,longbench_v1,256,H200,1,1
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,gsm8k,256,H100,4,default
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,gsm8k,256,H100,4,1
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,arena-hard,256,H100,4,default
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,arena-hard,256,H100,4,1
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,longbench_v1,256,H100,4,default
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,longbench_v1,256,H100,4,1
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,gsm8k,256,H200,3,default
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,gsm8k,256,H200,3,1
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,arena-hard,256,H200,3,default
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,arena-hard,256,H200,3,1
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,longbench_v1,256,H200,3,default
moe,sglang,Qwen3-235B-A22B-Instruct-2507-FP8,longbench_v1,256,H200,3,1
moe,vllm,gpt-oss-120b,gsm8k,256,A100,1,default
moe,vllm,gpt-oss-120b,gsm8k,256,A100,1,1
moe,vllm,gpt-oss-120b,arena-hard,256,A100,1,default
moe,vllm,gpt-oss-120b,arena-hard,256,A100,1,1
moe,vllm,gpt-oss-120b,longbench_v1,256,A100,1,default
moe,vllm,gpt-oss-120b,longbench_v1,256,A100,1,1
moe,vllm,gpt-oss-120b,gsm8k,256,A100,2,default
moe,vllm,gpt-oss-120b,gsm8k,256,A100,2,1
moe,vllm,gpt-oss-120b,arena-hard,256,A100,2,default
moe,vllm,gpt-oss-120b,arena-hard,256,A100,2,1
moe,vllm,gpt-oss-120b,longbench_v1,256,A100,2,default
moe,vllm,gpt-oss-120b,longbench_v1,256,A100,2,1
moe,vllm,gpt-oss-120b,gsm8k,256,H100,1,default
moe,vllm,gpt-oss-120b,gsm8k,256,H100,1,1
moe,vllm,gpt-oss-120b,arena-hard,256,H100,1,default
moe,vllm,gpt-oss-120b,arena-hard,256,H100,1,1
moe,vllm,gpt-oss-120b,longbench_v1,256,H100,1,default
moe,vllm,gpt-oss-120b,longbench_v1,256,H100,1,1
moe,vllm,gpt-oss-120b,gsm8k,256,H100,2,default
moe,vllm,gpt-oss-120b,gsm8k,256,H100,2,1
moe,vllm,gpt-oss-120b,arena-hard,256,H100,2,default
moe,vllm,gpt-oss-120b,arena-hard,256,H100,2,1
moe,vllm,gpt-oss-120b,longbench_v1,256,H100,2,default
moe,vllm,gpt-oss-120b,longbench_v1,256,H100,2,1
moe,vllm,gpt-oss-120b,gsm8k,256,H200,1,default
moe,vllm,gpt-oss-120b,gsm8k,256,H200,1,1
moe,vllm,gpt-oss-120b,arena-hard,256,H200,1,default
moe,vllm,gpt-oss-120b,arena-hard,256,H200,1,1
moe,vllm,gpt-oss-120b,longbench_v1,256,H200,1,default
moe,vllm,gpt-oss-120b,longbench_v1,256,H200,1,1
moe,vllm,Qwen3-235B-A22B-Instruct-2507-FP8,gsm8k,256,H100,4,default
moe,vllm,Qwen3-235B-A22B-Instruct-2507-FP8,gsm8k,256,H100,4,1
moe,vllm,Qwen3-235B-A22B-Instruct-2507-FP8,arena-hard,256,H100,4,default
moe,vllm,Qwen3-235B-A22B-Instruct-2507-FP8,arena-hard,256,H100,4,1
